"","Drug","log2MIC","Gene","log2FC"
"7057","Ethi",-3,"gene127",-0.282319017
"7058","Ethi",-2,"gene127",-0.346020178
"7059","Ethi",-1,"gene127",0.346505541
"7060","Ethi",0,"gene127",0.120080896
"7061","Ethi",1,"gene127",-0.138954841
"7062","Ethi",2,"gene127",-0.437005389
"7063","Ethi",3,"gene127",-1.22934209
"7064","KasA",-3,"gene127",-0.302166105
"7065","KasA",-2,"gene127",0.008559813
"7066","KasA",-1,"gene127",-0.632314707
"7067","KasA",0,"gene127",-1.124212843
"7068","KasA",1,"gene127",-1.315295216
"7069","KasA",2,"gene127",-1.369120171
"7070","KasA",3,"gene127",-2.498002939
"7071","Etha",-3,"gene127",0.553594287
"7072","Etha",-2,"gene127",0.606992524
"7073","Etha",-1,"gene127",1.73066005
"7074","Etha",0,"gene127",1.874168044
"7075","Etha",1,"gene127",1.297811505
"7076","Etha",2,"gene127",-0.474912697
"7077","Etha",3,"gene127",-0.486825679
"7078","Cipro",-3,"gene127",0.067479157
"7079","Cipro",-2,"gene127",0.632025692
"7080","Cipro",-1,"gene127",0.796132624
"7081","Cipro",0,"gene127",1.185107827
"7082","Cipro",1,"gene127",1.379426937
"7083","Cipro",2,"gene127",2.990135099
"7084","Cipro",3,"gene127",-0.196653517
"7085","Levo",-3,"gene127",0.067162149
"7086","Levo",-2,"gene127",0.903287421
"7087","Levo",-1,"gene127",0.952635674
"7088","Levo",0,"gene127",0.928911574
"7089","Levo",1,"gene127",-0.050347282
"7090","Levo",2,"gene127",-1.183705441
"7091","Levo",3,"gene127",-3.529799847
"7092","PAS",-3,"gene127",0.548064693
"7093","PAS",-2,"gene127",0.938405798
"7094","PAS",-1,"gene127",0.661142665
"7095","PAS",0,"gene127",1.067596872
"7096","PAS",1,"gene127",1.706986976
"7097","PAS",2,"gene127",2.299554929
"7098","PAS",3,"gene127",1.240678637
"7099","Line",-3,"gene127",-0.926708883
"7100","Line",-2,"gene127",-1.773807194
"7101","Line",-1,"gene127",-1.471341542
"7102","Line",0,"gene127",-0.761619269
"7103","Line",1,"gene127",-1.644821935
"7104","Line",2,"gene127",-1.885359623
"7105","Line",3,"gene127",-1.627429527
"7106","Rif",-3,"gene127",-0.065461886
"7107","Rif",-2,"gene127",0.334947819
"7108","Rif",-1,"gene127",-0.255607925
"7109","Rif",0,"gene127",-0.88344849
"7110","Rif",1,"gene127",-1.213967535
"7111","Rif",2,"gene127",-1.693970691
"7112","Rif",3,"gene127",-2.727746176
"7113","Ethi",-3,"gene128",-0.266824617
"7114","Ethi",-2,"gene128",-0.593647522
"7115","Ethi",-1,"gene128",0.417877691
"7116","Ethi",0,"gene128",0.085162727
"7117","Ethi",1,"gene128",-0.076906347
"7118","Ethi",2,"gene128",-0.842163531
"7119","Ethi",3,"gene128",-1.733801165
"7120","KasA",-3,"gene128",-0.365012385
"7121","KasA",-2,"gene128",-0.000331825
"7122","KasA",-1,"gene128",-0.643378656
"7123","KasA",0,"gene128",-1.332142535
"7124","KasA",1,"gene128",-1.473085915
"7125","KasA",2,"gene128",-1.869475992
"7126","KasA",3,"gene128",-4.035495482
"7127","Etha",-3,"gene128",0.469427634
"7128","Etha",-2,"gene128",0.627563182
"7129","Etha",-1,"gene128",1.766815994
"7130","Etha",0,"gene128",1.433040539
"7131","Etha",1,"gene128",-0.382321407
"7132","Etha",2,"gene128",-1.389552976
"7133","Etha",3,"gene128",-1.125310789
"7134","Cipro",-3,"gene128",0.222425492
